用户编号,年龄,性别,状态,下单次数,视力,年收入,年消费,近期购买产品,已注册月,收入消费比,年龄层次,消费等级,收入等级
U067,36,女,单身,4,3,34343,94,贝尔防蓝光眼镜(高级黑),2,0.27370934397111496,千禧一代(28-38),中消费,低收入
U147,24,女,单身,4,5,51006,100,9色钻石珠光眼影盘,6,0.19605536603536838,Z世代(18-27),中消费,中收入
U149,24,男,单身,5,5,62291,200,9色钻石珠光眼影盘,6,0.32107367035366263,Z世代(18-27),高消费,高收入
U087,21,女,有朋友,2,2,22973,53,敦乐视疲劳滴眼液(13ML),2,0.2307056109345754,Z世代(18-27),低消费,低收入
U005,20,女,有朋友,4,2,25247,47,贝尔防蓝光眼镜(高级黑),3,0.18616073196815464,Z世代(18-27),低消费,低收入
U008,21,女,单身,3,3,22973,85,贝尔防蓝光眼镜(高级黑),3,0.36999956470639445,Z世代(18-27),中消费,低收入
U026,24,女,有朋友,3,2,32069,47,贝尔防蓝光眼镜(高级黑),3,0.1465589821946428,Z世代(18-27),低消费,低收入
U115,30,男,单身,4,3,56617,106,敦乐视疲劳滴眼液(13ML),3,0.18722291891128107,千禧一代(28-38),中消费,中收入
U121,33,女,有朋友,4,4,43439,170,敦乐视疲劳滴眼液(13ML),3,0.3913533921130781,千禧一代(28-38),高消费,低收入
U001,18,女,单身,3,4,19562,112,贝尔防蓝光眼镜(高级黑),4,0.572538595235661,Z世代(18-27),高消费,低收入
U003,19,男,有朋友,4,3,40699,66,贝尔防蓝光眼镜(高级黑),4,0.16216614658836828,Z世代(18-27),低消费,低收入
U006,20,男,有朋友,3,3,42973,66,贝尔防蓝光眼镜(高级黑),4,0.15358480906615782,Z世代(18-27),低消费,低收入
U007,21,男,有朋友,3,3,45247,75,贝尔防蓝光眼镜(高级黑),4,0.1657568457577298,Z世代(18-27),低消费,中收入
U011,22,女,单身,3,3,26384,85,贝尔防蓝光眼镜(高级黑),4,0.3221649484536082,Z世代(18-27),中消费,低收入
U012,22,男,有朋友,3,2,45247,66,贝尔防蓝光眼镜(高级黑),4,0.14586602426680223,Z世代(18-27),低消费,中收入
U014,22,男,单身,3,3,45247,75,贝尔防蓝光眼镜(高级黑),4,0.1657568457577298,Z世代(18-27),低消费,中收入
U017,23,男,单身,2,3,44110,103,贝尔防蓝光眼镜(高级黑),4,0.23350714123781457,Z世代(18-27),中消费,中收入
U021,23,女,单身,4,3,28658,113,贝尔防蓝光眼镜(高级黑),4,0.3943052550771164,Z世代(18-27),高消费,低收入
U025,24,女,单身,2,3,35480,113,贝尔防蓝光眼镜(高级黑),4,0.31848928974069896,Z世代(18-27),高消费,低收入
U028,25,男,有朋友,3,3,58891,75,贝尔防蓝光眼镜(高级黑),4,0.12735392504797,Z世代(18-27),低消费,中收入
U029,25,女,有朋友,2,3,35480,56,贝尔防蓝光眼镜(高级黑),4,0.15783540022547915,Z世代(18-27),低消费,低收入
U030,25,男,有朋友,2,2,83450,47,贝尔防蓝光眼镜(高级黑),4,0.05632115038945476,Z世代(18-27),低消费,高收入
U031,25,男,有朋友,3,3,99795,85,贝尔防蓝光眼镜(高级黑),4,0.0851746079462899,Z世代(18-27),中消费,高收入
U035,26,男,有朋友,3,4,54343,113,贝尔防蓝光眼镜(高级黑),4,0.2079384649356863,Z世代(18-27),高消费,中收入
U042,27,男,有朋友,3,2,55480,66,贝尔防蓝光眼镜(高级黑),4,0.11896178803172315,Z世代(18-27),低消费,中收入
U044,27,男,有朋友,2,3,55480,56,贝尔防蓝光眼镜(高级黑),4,0.10093727469358328,Z世代(18-27),低消费,中收入
U045,28,男,有朋友,2,3,81290,56,贝尔防蓝光眼镜(高级黑),4,0.0688891622585804,千禧一代(28-38),低消费,高收入
U047,28,女,单身,3,3,42302,103,贝尔防蓝光眼镜(高级黑),4,0.24348730556474873,千禧一代(28-38),中消费,低收入
U048,28,男,有朋友,3,3,64576,94,贝尔防蓝光眼镜(高级黑),4,0.1455649157581764,千禧一代(28-38),中消费,高收入
U049,28,女,单身,4,3,44576,113,贝尔防蓝光眼镜(高级黑),4,0.2534996410624551,千禧一代(28-38),高消费,中收入
U052,29,男,有朋友,2,2,56617,38,贝尔防蓝光眼镜(高级黑),4,0.06711765017574227,千禧一代(28-38),低消费,中收入
U054,30,女,有朋友,4,4,36617,141,贝尔防蓝光眼镜(高级黑),4,0.3850670453614441,千禧一代(28-38),高消费,低收入
U055,30,女,单身,3,3,44576,85,贝尔防蓝光眼镜(高级黑),4,0.19068557071069633,千禧一代(28-38),中消费,中收入
