用户编号,年龄,性别,状态,下单次数,视力,年收入,年消费,近期购买产品,已注册月,收入消费比,年龄层次,消费等级,收入等级,R_Stage,F_Stage,M_Stage,用户价值,生命周期,综合分群
U067,36,女,单身,4,3,34343,94,贝尔防蓝光眼镜(高级黑),2,0.2737093439711149,千禧一代(28-38),中消费,低收入,新用户,中频,低价值,价格敏感,新用户,其他
U147,24,女,单身,4,5,51006,100,9色钻石珠光眼影盘,6,0.1960553660353683,Z世代(18-27),中消费,中收入,活跃,中频,低价值,价值用户,活跃用户,其他
U149,24,男,单身,5,5,62291,200,9色钻石珠光眼影盘,6,0.3210736703536626,Z世代(18-27),高消费,高收入,活跃,中频,中价值,高价值用户,活跃用户,高收入美妆爱好者
U087,21,女,有朋友,2,2,22973,53,敦乐视疲劳滴眼液(13ML),2,0.2307056109345754,Z世代(18-27),低消费,低收入,新用户,低频,低价值,价格敏感,新用户,年轻护眼刚需族
U005,20,女,有朋友,4,2,25247,47,贝尔防蓝光眼镜(高级黑),3,0.1861607319681546,Z世代(18-27),低消费,低收入,新用户,中频,低价值,价格敏感,新用户,年轻护眼刚需族
U008,21,女,单身,3,3,22973,85,贝尔防蓝光眼镜(高级黑),3,0.3699995647063944,Z世代(18-27),中消费,低收入,新用户,低频,低价值,价格敏感,新用户,年轻护眼刚需族
U026,24,女,有朋友,3,2,32069,47,贝尔防蓝光眼镜(高级黑),3,0.1465589821946428,Z世代(18-27),低消费,低收入,新用户,低频,低价值,其他,新用户,年轻护眼刚需族
U115,30,男,单身,4,3,56617,106,敦乐视疲劳滴眼液(13ML),3,0.187222918911281,千禧一代(28-38),中消费,中收入,新用户,中频,中价值,价值用户,新用户,其他
U121,33,女,有朋友,4,4,43439,170,敦乐视疲劳滴眼液(13ML),3,0.3913533921130781,千禧一代(28-38),高消费,低收入,新用户,中频,中价值,价格敏感,新用户,中年视力关爱群体
U001,18,女,单身,3,4,19562,112,贝尔防蓝光眼镜(高级黑),4,0.572538595235661,Z世代(18-27),高消费,低收入,活跃,低频,中价值,价格敏感,活跃用户,年轻护眼刚需族
