用户码,R值,F值,M值,R值层级,F值层级,M值层级,总分,总体价值
14681,70,7,498.95,2,0,0,2,低价值
14682,187,2,52.0,1,0,0,1,低价值
14684,25,421,1236.28,2,1,0,3,中价值
14687,106,15,628.38,1,0,0,1,低价值
14688,7,330,18859.37,2,1,2,5,高价值
14689,208,13,112.8,1,0,0,1,低价值
14690,43,50,371.7,2,0,0,2,低价值
14691,30,71,2114.33,2,0,0,2,低价值
14692,136,68,591.55,1,0,0,1,低价值
14693,263,8,172.9,0,0,0,0,低价值
14696,3,130,2078.95,2,0,0,2,低价值
14697,217,22,188.60999999999999,1,0,0,1,低价值
14698,1,210,1250.76,2,1,0,3,中价值
14699,213,8,109.13000000000001,1,0,0,1,低价值
14700,31,115,2235.3,2,0,0,2,低价值
14701,9,335,2549.37,2,1,1,4,中价值
14702,0,347,3292.14,2,1,1,4,中价值
14703,14,22,318.17,2,0,0,2,低价值
14704,10,415,1546.91,2,1,0,3,中价值
14705,197,1,179.0,1,0,0,1,低价值
14708,2,28,1126.37,2,0,0,2,低价值
14709,14,196,4921.04,2,1,1,4,中价值
14710,13,139,606.13,2,1,0,3,中价值
14711,9,357,2868.8,2,1,1,4,中价值
14712,28,25,917.07,2,0,0,2,低价值
14713,8,339,2666.36,2,1,1,4,中价值
14714,23,10,160.19,2,0,0,2,低价值
14715,24,71,867.38,2,0,0,2,低价值
14716,42,55,329.68,2,0,0,2,低价值
14719,0,237,1602.13,2,1,0,3,中价值
14720,5,37,663.81,2,0,0,2,低价值
14722,146,29,187.92000000000002,1,0,0,1,低价值
14723,9,278,1158.3,2,1,0,3,中价值
14725,23,52,718.08,2,0,0,2,低价值
14727,273,10,268.58,0,0,0,0,低价值
14729,372,71,313.49,0,0,0,0,低价值
14730,0,501,2005.06,2,2,0,4,中价值
14731,46,45,380.02,2,0,0,2,低价值
14732,7,147,2702.4900000000002,2,1,1,4,中价值
14733,15,202,9585.91,2,1,2,5,高价值
14735,3,194,6065.69,2,1,1,4,中价值
14737,3,17,1164.55,2,0,0,2,低价值
14738,42,54,1314.45,2,0,0,2,低价值
14739,3,60,3902.28,2,0,1,3,中价值
14740,196,89,1448.21,1,0,0,1,低价值
14741,11,59,1400.34,2,0,0,2,低价值
14744,15,26,1099.98,2,0,0,2,低价值
14745,112,69,1220.26,1,0,0,1,低价值
14747,248,18,328.2,0,0,0,0,低价值
14748,28,89,1415.75,2,0,0,2,低价值
14752,43,5,389.64,2,0,0,2,低价值
14753,86,30,563.15,2,0,0,2,低价值
14754,44,41,638.05,2,0,0,2,低价值
14755,9,235,5010.28,2,1,1,4,中价值
14756,14,38,738.96,2,0,0,2,低价值
14757,74,19,420.5,2,0,0,2,低价值
14758,144,71,1484.06,1,0,0,1,低价值
14759,4,102,1625.97,2,0,0,2,低价值
14760,296,5,89.2,0,0,0,0,低价值
14761,58,11,255.9,2,0,0,2,低价值
14762,263,21,300.52,0,0,0,0,低价值
14764,46,6,278.3,2,0,0,2,低价值
14765,28,39,254.11,2,0,0,2,低价值
14766,7,135,2473.37,2,0,1,3,中价值
14768,16,5,192.60000000000002,2,0,0,2,低价值
14769,2,1090,10674.75,2,2,2,6,高价值
14770,231,52,876.42,0,0,0,0,低价值
14772,111,9,139.26,1,0,0,1,低价值
14775,57,60,1011.9,2,0,0,2,低价值
14776,50,117,2538.3,2,0,1,3,中价值
14778,126,35,730.86,1,0,0,1,低价值
14779,279,41,386.15,0,0,0,0,低价值
14780,53,27,447.68,2,0,0,2,低价值
14782,319,6,200.10000000000002,0,0,0,0,低价值
14784,25,15,289.99,2,0,0,2,低价值
14785,9,3,77.4,2,0,0,2,低价值
14788,6,30,679.4399999999999,2,0,0,2,低价值
14789,28,6,197.64,2,0,0,2,低价值
14790,16,46,745.06,2,0,0,2,低价值
14792,63,2,6.2,2,0,0,2,低价值
14793,20,14,228.99,2,0,0,2,低价值
14794,2,80,1319.91,2,0,0,2,低价值
14795,165,6,131.45000000000002,1,0,0,1,低价值
14796,0,1141,8022.49,2,2,1,5,高价值
14798,52,12,173.74,2,0,0,2,低价值
14799,50,13,157.7,2,0,0,2,低价值
14800,46,385,4339.74,2,1,1,4,中价值
14801,60,59,193.14,2,0,0,2,低价值
14803,161,44,845.55,1,0,0,1,低价值
14804,8,12,353.27,2,0,0,2,低价值
14805,14,47,554.65,2,0,0,2,低价值
14806,74,11,193.39000000000001,2,0,0,2,低价值
14808,39,235,2741.17,2,1,1,4,中价值
14810,40,255,2087.88,2,1,0,3,中价值
14813,369,30,155.43,0,0,0,0,低价值
14815,36,53,778.5,2,0,0,2,低价值
14816,196,4,271.85,1,0,0,1,低价值
14817,199,63,1110.34,1,0,0,1,低价值
14818,73,48,657.8,2,0,0,2,低价值
14819,63,13,272.07,2,0,0,2,低价值
14820,20,29,507.29,2,0,0,2,低价值
14821,366,2,48.800000000000004,0,0,0,0,低价值
14823,179,70,321.43,1,0,0,1,低价值
14824,9,29,1127.71,2,0,0,2,低价值
