用户码,R值,F值,M值,总分,customer_value
14681,70,7,498.95,2,Low
14682,187,2,52.0,2,Low
14684,25,421,1236.28,5,High
14687,106,15,628.38,3,Medium
14688,7,330,18859.37,6,High
14689,208,13,112.8,2,Low
14690,43,50,371.7,4,Medium
14691,30,71,2114.33,6,High
14692,136,68,591.55,5,High
14693,263,8,172.9,2,Low
14696,3,130,2078.95,6,High
14697,217,22,188.60999999999999,3,Medium
14698,1,210,1250.76,5,High
14699,213,8,109.13000000000001,2,Low
14700,31,115,2235.3,7,High
14701,9,335,2549.37,6,High
14702,0,347,3292.14,6,High
14703,14,22,318.17,2,Low
14704,10,415,1546.91,6,High
14705,197,1,179.0,2,Low
14708,2,28,1126.37,3,Medium
14709,14,196,4921.04,6,High
14710,13,139,606.13,4,Medium
14711,9,357,2868.8,6,High
14712,28,25,917.07,4,Medium
14713,8,339,2666.36,6,High
14714,23,10,160.19,0,Low
14715,24,71,867.38,4,Medium
14716,42,55,329.68,4,Medium
14719,0,237,1602.13,6,High
14720,5,37,663.81,3,Medium
14722,146,29,187.92000000000002,3,Medium
14723,9,278,1158.3,5,High
14725,23,52,718.08,4,Medium
14727,273,10,268.58,2,Low
14729,372,71,313.49,5,High
14730,0,501,2005.06,6,High
14731,46,45,380.02,4,Medium
14732,7,147,2702.4900000000002,6,High
14733,15,202,9585.91,6,High
14735,3,194,6065.69,6,High
14737,3,17,1164.55,2,Low
14738,42,54,1314.45,5,High
14739,3,60,3902.28,5,High
14740,196,89,1448.21,6,High
14741,11,59,1400.34,4,Medium
14744,15,26,1099.98,3,Medium
14745,112,69,1220.26,6,High
14747,248,18,328.2,4,Medium
14748,28,89,1415.75,5,High
14752,43,5,389.64,2,Low
14753,86,30,563.15,3,Medium
14754,44,41,638.05,3,Medium
14755,9,235,5010.28,6,High
14756,14,38,738.96,3,Medium
14757,74,19,420.5,3,Medium
14758,144,71,1484.06,6,High
14759,4,102,1625.97,6,High
14760,296,5,89.2,2,Low
14761,58,11,255.9,1,Low
14762,263,21,300.52,3,Medium
14764,46,6,278.3,1,Low
14765,28,39,254.11,2,Low
14766,7,135,2473.37,6,High
14768,16,5,192.60000000000002,0,Low
14769,2,1090,10674.75,6,High
14770,231,52,876.42,6,High
14772,111,9,139.26,2,Low
14775,57,60,1011.9,5,High
14776,50,117,2538.3,7,High
14778,126,35,730.86,5,High
14779,279,41,386.15,4,Medium
14780,53,27,447.68,3,Medium
14782,319,6,200.10000000000002,2,Low
14784,25,15,289.99,0,Low
14785,9,3,77.4,0,Low
14788,6,30,679.4399999999999,3,Medium
14789,28,6,197.64,1,Low
14790,16,46,745.06,4,Medium
14792,63,2,6.2,1,Low
14793,20,14,228.99,0,Low
14794,2,80,1319.91,4,Medium
14795,165,6,131.45000000000002,2,Low
14796,0,1141,8022.49,6,High
14798,52,12,173.74,1,Low
14799,50,13,157.7,1,Low
14800,46,385,4339.74,7,High
14801,60,59,193.14,3,Medium
14803,161,44,845.55,6,High
14804,8,12,353.27,1,Low
14805,14,47,554.65,3,Medium
14806,74,11,193.39000000000001,1,Low
14808,39,235,2741.17,7,High
14810,40,255,2087.88,7,High
14813,369,30,155.43,3,Medium
14815,36,53,778.5,5,High
14816,196,4,271.85,2,Low
