用户码,R值,F值,M值,总分,rank
15808,305,208,3734.97,8,1
15379,168,194,3703.29,8,2
15581,120,150,3679.97,8,3
15491,94,154,3100.09,8,4
14930,108,128,2372.86,8,5
15704,139,117,2293.62,8,6
15235,217,143,2247.51,8,7
15665,167,116,2242.01,8,8
15641,104,119,1887.2,8,9
15002,115,115,1641.76,8,10
15513,32,308,14758.22,7,11
14936,33,364,8137.02,7,12
14952,59,138,8099.49,7,13
15249,31,350,6688.46,7,14
14944,29,170,5900.25,7,15
15301,50,243,5070.35,7,16
15719,32,937,5045.61,7,17
15032,255,52,4959.1,7,18
15786,45,267,4932.2,7,19
15874,63,120,4405.88,7,20
14800,46,385,4339.74,7,21
15416,64,192,3984.32,7,22
16019,46,160,3786.24,7,23
15622,42,185,3709.56,7,24
15296,50,194,3672.86,7,25
15410,83,122,3450.84,7,26
15974,38,176,3442.15,7,27
15228,65,125,3386.71,7,28
15708,40,288,3364.24,7,29
14841,52,138,3295.76,7,30
15764,87,180,3279.97,7,31
14844,63,130,3189.81,7,32
15065,37,155,3158.13,7,33
15998,35,506,3089.97,7,34
15521,39,185,3000.2,7,35
15673,87,155,2881.02,7,36
14852,57,143,2836.69,7,37
14842,42,145,2824.69,7,38
15356,30,519,2766.5,7,39
15114,29,197,2760.56,7,40
14854,77,127,2759.83,7,41
14808,39,235,2741.17,7,42
15696,32,171,2736.46,7,43
16003,29,103,2735.37,7,44
15752,39,411,2637.38,7,45
14776,50,117,2538.3,7,46
15245,133,89,2515.84,7,47
15674,72,114,2446.6,7,48
15281,58,139,2332.15,7,49
14700,31,115,2235.3,7,50
15834,69,273,2233.75,7,51
14810,40,255,2087.88,7,52
15493,32,297,2001.8,7,53
15518,63,214,1942.45,7,54
14978,71,216,1931.42,7,55
15819,48,123,1905.45,7,56
15827,72,115,1836.09,7,57
15260,99,77,1810.77,7,58
15220,50,117,1778.96,7,59
15241,66,110,1756.44,7,60
16007,47,385,1701.94,7,61
15549,76,115,1693.26,7,62
14837,89,108,1649.5,7,63
15122,113,82,1633.78,7,64
14918,115,45,1610.15,7,65
15620,55,100,1553.18,7,66
15625,103,64,1534.26,7,67
15265,150,82,1506.12,7,68
15004,146,158,1246.32,7,69
15716,145,118,1118.81,7,70
15464,337,157,1048.85,7,71
15644,165,238,813.0,7,72
15574,177,168,702.25,7,73
15800,106,119,699.08,7,74
15311,0,2379,60767.9,6,75
15769,6,130,56252.72,6,76
15061,3,403,54534.14,6,77
16013,3,139,37130.6,6,78
15838,10,167,33643.08,6,79
15291,25,105,20261.1,6,80
15039,9,1502,19914.44,6,81
14688,7,330,18859.37,6,82
15159,1,710,18641.01,6,83
15856,3,645,16387.57,6,84
15189,0,212,16225.39,6,85
14866,10,99,14389.9,6,86
15498,1,512,13316.4,6,87
15640,3,484,12515.66,6,88
15125,24,127,11528.48,6,89
14895,7,498,11138.71,6,90
14769,2,1090,10674.75,6,91
15251,8,111,10484.99,6,92
15615,9,423,10399.74,6,93
15502,14,213,10384.93,6,94
15078,6,440,9743.11,6,95
14733,15,202,9585.91,6,96
15358,4,551,8347.2,6,97
14796,0,1141,8022.49,6,98
15290,4,204,7943.22,6,99
14849,21,388,7930.54,6,100
15044,18,453,7700.23,6,101
15194,2,310,7616.53,6,102
14961,10,312,7044.68,6,103
15023,2,562,6802.76,6,104
15601,10,410,6776.56,6,105
15144,7,217,6580.44,6,106
15005,15,1119,6316.57,6,107
15939,89,76,6115.01,6,108
14735,3,194,6065.69,6,109
15382,14,302,5955.71,6,110
15218,10,166,5756.89,6,111
15805,22,301,5528.4800000000005,6,112
15150,16,343,5314.47,6,113
15046,8,206,5213.77,6,114
15727,15,302,5178.96,6,115
14755,9,235,5010.28,6,116
15547,6,702,4954.84,6,117
14709,14,196,4921.04,6,118
15738,18,173,4812.42,6,119
15555,11,899,4805.17,6,120
15298,1,192,4799.9,6,121
15152,8,271,4745.69,6,122
15093,17,108,4597.02,6,123
15955,23,183,4416.26,6,124
15034,15,394,4308.61,6,125
15804,0,263,4206.39,6,126
15570,6,323,4165.52,6,127
15514,11,178,4139.46,6,128
15529,22,672,3995.23,6,129
15867,4,461,3812.64,6,130
15845,17,138,3711.77,6,131
15505,52,97,3610.96,6,132
15113,9,100,3609.33,6,133
15484,0,188,3594.31,6,134
15544,8,259,3546.71,6,135
14907,2,165,3501.1,6,136
15129,49,84,3447.4,6,137
15676,17,202,3435.76,6,138
16011,7,212,3362.71,6,139
14702,0,347,3292.14,6,140
15632,15,167,3285.31,6,141
15443,1,382,3236.91,6,142
15861,11,546,3165.36,6,143
15687,8,166,2993.1,6,144
15854,3,140,2974.65,6,145
14868,2,144,2953.59,6,146
15606,60,77,2920.16,6,147
15628,4,155,2870.24,6,148
14711,9,357,2868.8,6,149
15984,2,270,2837.67,6,150
14903,20,355,2810.63,6,151
15993,8,552,2797.57,6,152
15321,70,95,2748.31,6,153
15796,0,133,2711.56,6,154
14732,7,147,2702.49,6,155
14713,8,339,2666.36,6,156
15033,3,510,2586.67,6,157
15485,29,86,2575.0,6,158
15572,4,215,2552.86,6,159
14701,9,335,2549.37,6,160
15271,6,274,2507.07,6,161
15932,3,115,2495.87,6,162
14766,7,135,2473.37,6,163
15750,1,293,2465.48,6,164
15527,18,163,2429.78,6,165
15089,9,145,2420.84,6,166
15373,7,132,2415.91,6,167
15980,88,43,2398.86,6,168
15370,40,94,2386.05,6,169
15755,9,141,2364.25,6,170
15140,51,80,2354.25,6,171
15785,32,83,2328.9700000000003,6,172
15365,25,114,2314.32,6,173
15288,42,88,2306.52,6,174
15105,17,101,2298.93,6,175
14825,3,121,2226.91,6,176
15722,35,69,2222.56,6,177
15811,21,133,2218.62,6,178
15123,6,106,2199.31,6,179
15058,24,276,2124.99,6,180
14691,30,71,2114.33,6,181
15815,62,49,2100.6,6,182
14696,3,130,2078.95,6,183
15531,7,228,2007.44,6,184
15372,136,27,2007.4,6,185
14730,0,501,2005.06,6,186
15351,11,225,1960.11,6,187
15157,3,125,1936.07,6,188
15021,8,472,1914.82,6,189
14934,81,87,1890.94,6,190
15367,56,95,1877.59,6,191
15203,25,142,1827.8,6,192
15812,106,41,1801.14,6,193
15862,7,142,1776.36,6,194
15594,15,103,1771.78,6,195
15950,31,98,1765.51,6,196
15067,77,82,1744.76,6,197
15240,44,78,1706.57,6,198
15214,1,110,1661.44,6,199
15024,9,155,1661.33,6,200
15332,365,35,1661.06,6,201
15826,55,68,1654.31,6,202
14759,4,102,1625.97,6,203
15172,8,110,1624.05,6,204
15791,43,75,1612.69,6,205
14719,0,237,1602.13,6,206
15532,24,256,1580.93,6,207
15906,19,150,1567.69,6,208
15111,28,84,1567.48,6,209
14704,10,415,1546.91,6,210
15701,1,237,1542.14,6,211
15916,15,155,1528.09,6,212
16016,2,235,1508.76,6,213
14758,144,71,1484.06,6,214
15427,32,306,1483.14,6,215
15128,59,102,1471.0,6,216
14875,107,47,1465.3200000000002,6,217
14740,196,89,1448.21,6,218
15596,100,77,1406.59,6,219
15095,103,47,1370.6,6,220
15059,40,237,1337.72,6,221
15146,164,91,1327.16,6,222
15108,141,60,1300.25,6,223
15376,39,117,1233.36,6,224
14745,112,69,1220.26,6,225
14971,34,160,1116.57,6,226
14817,199,63,1110.34,6,227
15069,178,70,1109.53,6,228
15996,87,130,1060.68,6,229
15407,33,153,1056.44,6,230
15192,119,51,1044.32,6,231
15104,196,69,1027.44,6,232
15658,189,48,1024.1,6,233
15508,188,92,1000.27,6,234
14920,212,57,977.77,6,235
15860,40,142,977.21,6,236
15707,34,214,945.58,6,237
15480,115,45,905.5,6,238
15079,211,47,895.61,6,239
15076,172,49,880.85,6,240
14770,231,52,876.42,6,241
14803,161,44,845.55,6,242
15164,68,103,843.05,6,243
15832,253,54,836.79,6,244
15353,254,63,777.02,6,245
15855,136,80,712.24,6,246
