房屋ID,面积,房间数,卫生间数,楼层,总楼层,建造年份,地铁距离,学校距离,商场距离,装修等级,朝向,小区类型,房价,房龄,楼层比例,房间密度,距离总分,装修等级_num,小区类型_num
H001,85.5,2,1,3,18,2015,0.8,0.5,1.2,精装修,南,高档小区,520000,10,0.16666666666666666,42.75,2.5,3,2
H002,120.3,3,2,8,25,2018,0.3,0.2,0.8,精装修,南,高档小区,780000,7,0.32,40.1,1.3,3,2
H003,95.2,2,1,12,20,2012,1.5,1.0,2.0,简装修,北,普通小区,420000,13,0.6,47.6,4.5,2,1
H004,68.8,1,1,5,15,2010,2.0,1.8,3.5,毛坯,东,普通小区,280000,15,0.3333333333333333,68.8,7.3,1,1
H005,145.6,4,2,2,6,2020,0.5,0.3,0.6,豪华装修,南,豪华小区,1200000,5,0.3333333333333333,36.4,1.4,4,3
H006,78.9,2,1,10,22,2016,1.2,0.8,1.5,精装修,西,高档小区,450000,9,0.45454545454545453,39.45,3.5,3,2
H007,102.4,3,1,7,18,2014,0.9,0.6,1.1,精装修,南,高档小区,580000,11,0.3888888888888889,34.13333333333333,2.6,3,2
H008,156.7,4,3,15,30,2019,0.2,0.1,0.4,豪华装修,南,豪华小区,1450000,6,0.5,39.175,0.7000000000000001,4,3
H009,89.3,2,1,4,12,2011,1.8,1.2,2.8,简装修,东,普通小区,350000,14,0.3333333333333333,44.65,5.8,2,1
H010,134.2,3,2,20,25,2017,0.4,0.3,0.7,精装修,南,高档小区,920000,8,0.8,44.73333333333333,1.4,3,2
H011,72.1,1,1,8,16,2013,1.6,1.4,2.2,简装修,北,普通小区,320000,12,0.5,72.1,5.2,2,1
H012,198.5,5,3,3,8,2021,0.3,0.2,0.5,豪华装修,南,豪华小区,1800000,4,0.375,39.7,1.0,4,3
H013,91.7,2,1,14,20,2015,1.1,0.9,1.8,精装修,西,高档小区,480000,10,0.7,45.85,3.8,3,2
H014,115.8,3,2,6,18,2016,0.7,0.4,1.0,精装修,南,高档小区,650000,9,0.3333333333333333,38.6,2.1,3,2
H015,63.4,1,1,2,10,2009,2.5,2.0,4.0,毛坯,北,普通小区,240000,16,0.2,63.4,8.5,1,1
H016,128.9,3,2,12,22,2018,0.6,0.5,0.9,精装修,南,高档小区,780000,7,0.5454545454545454,42.96666666666667,2.0,3,2
H017,87.6,2,1,9,15,2012,1.4,1.1,2.1,简装修,东,普通小区,380000,13,0.6,43.8,4.6,2,1
H018,176.3,4,3,5,12,2020,0.4,0.2,0.6,豪华装修,南,豪华小区,1350000,5,0.4166666666666667,44.075,1.2000000000000002,4,3
H019,94.8,2,1,16,25,2014,1.0,0.7,1.6,精装修,西,高档小区,520000,11,0.64,47.4,3.3,3,2
H020,108.2,3,1,11,20,2017,0.8,0.6,1.3,精装修,南,高档小区,620000,8,0.55,36.06666666666667,2.7,3,2
H021,75.5,2,1,7,14,2011,1.7,1.3,2.5,简装修,北,普通小区,340000,14,0.5,37.75,5.5,2,1
H022,142.7,4,2,18,28,2019,0.3,0.2,0.7,豪华装修,南,豪华小区,1100000,6,0.6428571428571429,35.675,1.2,4,3
H023,82.3,2,1,5,16,2013,1.3,1.0,1.9,简装修,东,普通小区,360000,12,0.3125,41.15,4.199999999999999,2,1
H024,167.9,4,3,8,15,2021,0.2,0.1,0.3,豪华装修,南,豪华小区,1520000,4,0.5333333333333333,41.975,0.6000000000000001,4,3
H025,96.1,2,1,13,18,2015,0.9,0.8,1.4,精装修,南,高档小区,550000,10,0.7222222222222222,48.05,3.1,3,2
H026,119.4,3,2,4,12,2016,0.6,0.4,1.1,精装修,西,高档小区,680000,9,0.3333333333333333,39.800000000000004,2.1,3,2
H027,71.8,1,1,9,20,2010,2.1,1.6,3.2,毛坯,北,普通小区,290000,15,0.45,71.8,6.9,1,1
H028,153.6,4,2,22,30,2018,0.4,0.3,0.8,精装修,南,高档小区,1050000,7,0.7333333333333333,38.4,1.5,3,2
H029,88.7,2,1,6,14,2012,1.5,1.2,2.3,简装修,东,普通小区,390000,13,0.42857142857142855,44.35,5.0,2,1
H030,201.3,5,4,1,6,2022,0.1,0.1,0.2,豪华装修,南,豪华小区,2100000,3,0.16666666666666666,40.260000000000005,0.4,4,3
H031,79.2,2,1,11,18,2014,1.2,0.9,1.7,精装修,西,高档小区,460000,11,0.6111111111111112,39.6,3.8,3,2
H032,125.8,3,2,15,25,2017,0.5,0.4,0.9,精装修,南,高档小区,750000,8,0.6,41.93333333333333,1.8,3,2
H033,92.5,2,1,3,10,2011,1.6,1.3,2.4,简装修,北,普通小区,370000,14,0.3,46.25,5.300000000000001,2,1
H034,148.2,4,3,7,16,2019,0.3,0.2,0.6,豪华装修,南,豪华小区,1180000,6,0.4375,37.05,1.1,4,3
H035,66.9,1,1,12,22,2013,2.2,1.8,3.1,简装修,东,普通小区,270000,12,0.5454545454545454,66.9,7.1,2,1
H036,112.7,3,1,19,28,2016,0.7,0.5,1.2,精装修,南,高档小区,640000,9,0.6785714285714286,37.56666666666667,2.4,3,2
H037,84.1,2,1,8,15,2012,1.4,1.1,2.0,简装修,西,普通小区,380000,13,0.5333333333333333,42.05,4.5,2,1
H038,159.8,4,3,4,10,2020,0.2,0.1,0.4,豪华装修,南,豪华小区,1420000,5,0.4,39.95,0.7000000000000001,4,3
H039,97.3,2,1,14,20,2015,1.0,0.8,1.5,精装修,南,高档小区,560000,10,0.7,48.65,3.3,3,2
H040,131.5,3,2,9,18,2017,0.6,0.4,1.0,精装修,西,高档小区,790000,8,0.5,43.833333333333336,2.0,3,2
H041,73.6,1,1,6,12,2010,1.9,1.5,2.9,毛坯,北,普通小区,310000,15,0.5,73.6,6.3,1,1
H042,186.4,5,3,11,20,2021,0.3,0.2,0.5,豪华装修,南,豪华小区,1650000,4,0.55,37.28,1.0,4,3
H043,89.8,2,1,17,25,2014,1.1,0.9,1.8,精装修,东,高档小区,490000,11,0.68,44.9,3.8,3,2
H044,116.2,3,2,5,14,2016,0.8,0.6,1.3,精装修,南,高档小区,670000,9,0.35714285714285715,38.733333333333334,2.7,3,2
H045,61.7,1,1,10,18,2009,2.6,2.1,3.8,毛坯,西,普通小区,230000,16,0.5555555555555556,61.7,8.5,1,1
H046,139.9,3,2,21,30,2018,0.4,0.3,0.8,精装修,南,高档小区,860000,7,0.7,46.63333333333333,1.5,3,2
H047,86.4,2,1,7,16,2012,1.5,1.2,2.2,简装修,北,普通小区,370000,13,0.4375,43.2,4.9,2,1
H048,172.1,4,3,2,8,2020,0.2,0.1,0.3,豪华装修,南,豪华小区,1580000,5,0.25,43.025,0.6000000000000001,4,3
H049,93.7,2,1,12,18,2015,1.0,0.7,1.6,精装修,西,高档小区,530000,10,0.6666666666666666,46.85,3.3,3,2
H050,107.8,3,1,16,22,2017,0.7,0.5,1.2,精装修,南,高档小区,610000,8,0.7272727272727273,35.93333333333333,2.4,3,2
H051,77.3,2,1,4,12,2011,1.8,1.4,2.6,简装修,东,普通小区,350000,14,0.3333333333333333,38.65,5.800000000000001,2,1
H052,164.5,4,2,13,25,2019,0.3,0.2,0.7,豪华装修,南,豪华小区,1280000,6,0.52,41.125,1.2,4,3
H053,81.9,2,1,9,20,2013,1.3,1.0,1.9,简装修,北,普通小区,360000,12,0.45,40.95,4.199999999999999,2,1
H054,123.6,3,2,18,28,2016,0.5,0.4,0.9,精装修,南,高档小区,720000,9,0.6428571428571429,41.199999999999996,1.8,3,2
H055,69.2,1,1,15,25,2010,2.3,1.9,3.4,毛坯,西,普通小区,280000,15,0.6,69.2,7.6,1,1
