用户码,裂变类型,是否转化,P_TR,P_TN,P_CR,P_CN,增量分数
30408,助力砍价,0,0.1136884,0.37864465,0.042230964,0.46543595,0.2954626
23360,无裂变页面,0,0.013616443,0.59160715,0.004903183,0.38987324,0.020156026
53578,助力砍价,0,0.07338946,0.45734313,0.036568,0.4326994,0.12070757
27254,助力砍价,0,0.019588048,0.46060175,0.00984535,0.5099649,0.043703973
58266,助力砍价,0,0.06331744,0.30837482,0.028084682,0.60022306,0.25130033
27470,助力砍价,0,0.1535564,0.410831,0.038366806,0.39724576,0.36800152
4440,助力砍价,0,0.14993297,0.3703017,0.11735336,0.36241198,0.0871937
46920,助力砍价,0,0.09251317,0.26528722,0.019844517,0.6223551,0.45531997
37555,无裂变页面,0,0.030057907,0.49603936,0.0030169804,0.47088572,0.10153502
7634,无裂变页面,0,0.07946054,0.40325454,0.015180425,0.50210446,0.27053064
38993,无裂变页面,0,0.0998656,0.31590226,0.07555328,0.5086788,0.22174978
30697,助力砍价,1,0.14249362,0.3839781,0.038212094,0.43531612,0.3799223
2050,无裂变页面,0,0.12511148,0.41735017,0.107412435,0.35012594,-0.008250117
20971,无裂变页面,0,0.07610226,0.33584198,0.038221467,0.5498343,0.23948574
27137,无裂变页面,1,0.044681083,0.39956883,0.047096346,0.50865376,0.031665325
18801,无裂变页面,0,0.06084044,0.5254741,0.016308708,0.39737678,0.12868929
35538,助力砍价,0,0.1988766,0.46646115,0.049758382,0.28490385,0.30045667
24265,无裂变页面,0,0.10317995,0.39979455,0.048812773,0.4482128,0.2138595
9547,无裂变页面,0,0.053969614,0.33332846,0.022871615,0.58983034,0.20403987
38264,无裂变页面,0,0.11589193,0.39721328,0.043029234,0.4438656,0.2749781
44314,无裂变页面,0,0.15264751,0.40552744,0.030596862,0.4112282,0.40845013
47672,无裂变页面,0,0.114198856,0.45932785,0.08122795,0.3452453,0.017305017
10188,无裂变页面,1,0.09706102,0.40012968,0.055241596,0.44756767,0.17070603
8553,助力砍价,0,0.17302443,0.3468669,0.08906608,0.39104256,0.29459295
24330,助力砍价,1,0.0321767,0.48038843,0.018913189,0.46852162,0.047948718
5969,无裂变页面,0,0.039003246,0.47401333,0.06375055,0.4232329,-0.10976362
25787,助力砍价,0,0.101086296,0.41390237,0.07836154,0.40664977,0.06944394
57683,助力砍价,0,0.053462252,0.45447728,0.017195852,0.47486463,0.14061308
3741,助力砍价,0,0.093228824,0.4224331,0.03233595,0.45200217,0.22806263
52337,无裂变页面,0,0.08302409,0.47403646,0.06251204,0.38042736,0.015819192
5634,助力砍价,0,0.044661738,0.41711012,0.08501915,0.45320898,-0.122486055
44389,助力砍价,1,0.059201427,0.47367376,0.021503676,0.44562107,0.13012797
17046,助力砍价,0,0.02008036,0.40536928,0.0020685093,0.5724819,0.087195456
27395,助力砍价,0,0.076234736,0.40863946,0.06690955,0.4482163,0.054672062
31226,助力砍价,0,0.048081335,0.4576599,0.016588071,0.47767064,0.12301904
35414,助力砍价,0,0.067343175,0.497343,0.049637944,0.38567582,0.010459423
31322,无裂变页面,1,0.07012441,0.48148856,0.052366517,0.3960205,0.020674884
6374,助力砍价,0,0.087770514,0.42928526,0.074695975,0.40824825,0.030165315
8424,助力砍价,0,0.08739741,0.4942216,0.21907651,0.19930448,-0.74672693
682,无裂变页面,0,0.092928335,0.6576389,0.02331221,0.22612053,0.06069982
8565,助力砍价,0,0.094388366,0.41308975,0.07994105,0.4125808,0.047370672
40276,助力砍价,0,0.038334295,0.41199532,0.0090363575,0.54063404,0.1373707
60789,助力砍价,0,0.5584593,0.27381897,0.016327927,0.15139377,1.1472987
51984,无裂变页面,0,0.052061584,0.36901122,0.040467627,0.5384596,0.10747862
8689,助力砍价,0,0.15168044,0.30052042,0.099638045,0.44816107,0.30707842
22183,无裂变页面,0,0.07936555,0.47817397,0.040997703,0.4014628,0.09938234
28,助力砍价,0,0.16987875,0.42989007,0.064442106,0.33578908,0.24445644
15063,助力砍价,0,0.041327413,0.3945133,0.024267958,0.5398913,0.103612244
26105,无裂变页面,0,0.059642456,0.52933145,0.023685146,0.38734096,0.08728111
4154,助力砍价,0,0.117373064,0.18216419,0.42678824,0.2736745,-0.43489352
20587,助力砍价,1,0.042239774,0.39572343,0.038462926,0.5235739,0.056022167
20949,助力砍价,1,0.13030061,0.36461684,0.15265602,0.35242653,-0.07792458
13471,助力砍价,0,0.040671907,0.4544443,0.0337461,0.47113773,0.03061372
42737,无裂变页面,0,0.15003009,0.40620357,0.058142,0.38562438,0.277411
28358,无裂变页面,0,0.15527296,0.34185317,0.041280244,0.46159366,0.46050504
38261,助力砍价,0,0.080360845,0.36399782,0.047561754,0.5080796,0.19049764
60553,无裂变页面,0,0.15011132,0.48202267,0.0460999,0.32176614,0.22430092
25921,无裂变页面,0,0.24869408,0.30090645,0.1209215,0.329478,0.36804724
36681,无裂变页面,0,0.04528325,0.50101006,0.10439554,0.3493112,-0.29440582
53207,无裂变页面,0,0.048840113,0.48445782,0.010066761,0.4566353,0.1400227
503,助力砍价,0,0.06430247,0.57768697,0.04448929,0.3135213,-0.04821372
7912,助力砍价,0,0.18585955,0.2795734,0.06763645,0.4669306,0.54560095
24242,助力砍价,0,0.02437387,0.42555618,0.024865065,0.5252049,0.017938077
48841,助力砍价,0,0.08460859,0.30347645,0.051365286,0.5605497,0.26814735
39589,助力砍价,1,0.07543683,0.50130385,0.0441134,0.37914595,0.053150833
223,无裂变页面,0,0.12202317,0.31323126,0.05421013,0.5105355,0.36871737
60050,无裂变页面,0,0.039060816,0.48527348,0.038400035,0.43726572,-0.012465954
49717,无裂变页面,0,0.074606866,0.32870176,0.040414304,0.55627704,0.23451263
12234,助力砍价,0,0.1315511,0.46101624,0.030930458,0.3765022,0.29217285
2315,无裂变页面,0,0.10916222,0.4567536,0.051359747,0.38272437,0.1491546
3912,助力砍价,0,0.06580555,0.3602642,0.024087908,0.54984236,0.22495544
29639,无裂变页面,0,0.046835136,0.3477171,0.0784542,0.5269936,-0.02175194
47699,无裂变页面,0,0.15447825,0.4472882,0.04910769,0.3491259,0.26678836
7830,助力砍价,0,0.064276785,0.48794875,0.0090017775,0.4387727,0.19258499
44278,无裂变页面,0,0.05409706,0.119997844,0.0035629408,0.82234216,0.6128384
27601,无裂变页面,0,0.09604339,0.39007646,0.056712296,0.45716783,0.17442101
48370,助力砍价,0,0.061449297,0.39430764,0.022234129,0.5220089,0.1879515
1640,助力砍价,0,0.053284302,0.44767898,0.08058869,0.41844797,-0.11024976
55109,助力砍价,0,0.049117252,0.40745306,0.075918,0.46751174,-0.06424564
38906,助力砍价,0,0.117334425,0.34048215,0.053969078,0.48821434,0.31350216
14647,无裂变页面,0,0.027442686,0.5021235,0.016547928,0.4538859,0.033290446
61459,无裂变页面,0,0.08608515,0.48501584,0.042036977,0.38686198,0.10544813
27451,无裂变页面,0,0.033818785,0.48218432,0.01216752,0.4718294,0.08080047
62115,无裂变页面,0,0.14227766,0.4908314,0.04529353,0.32159737,0.20255238
4128,助力砍价,1,0.057256248,0.4097386,0.038069043,0.49493608,0.10236466
17495,无裂变页面,0,0.117017515,0.31453896,0.04483722,0.5236063,0.3845501
23834,助力砍价,1,0.17527814,0.32791907,0.09872687,0.3980759,0.29920888
55146,助力砍价,0,0.062205665,0.33792445,0.06277215,0.53709775,0.1016413
13737,无裂变页面,0,0.1195989,0.42981806,0.055882324,0.3947007,0.18732202
55354,无裂变页面,1,0.18882461,0.31964478,0.13105708,0.3604735,0.20945656
5456,无裂变页面,0,0.06008783,0.42366987,0.012786042,0.50345623,0.19888622
61781,助力砍价,0,0.094388366,0.41308975,0.07994105,0.4125808,0.047370672
30454,无裂变页面,0,0.06874897,0.48123756,0.085186906,0.3648265,-0.12859476
34381,助力砍价,0,0.1077714,0.31699738,0.063497566,0.51173365,0.28666326
46352,无裂变页面,0,0.10185142,0.3995372,0.065916024,0.43269542,0.1418789
3249,助力砍价,1,0.08788775,0.32234645,0.039721113,0.55004466,0.2937746
773,无裂变页面,0,0.1069145,0.36097014,0.03804389,0.4940715,0.31402105
11752,助力砍价,0,0.20674148,0.48504457,0.030483607,0.27773035,0.39989543
