用户码,裂变类型,是否转化,P_TR,P_TN,P_CR,P_CN,增量分数
36589,无裂变页面,0,0.028263409,0.4630393,0.03115414,0.4775431,-0.007430911
62509,拼团狂买,0,0.044890728,0.47833702,0.035174828,0.4415974,0.0240376
62050,无裂变页面,0,0.07702621,0.6842714,0.072932705,0.16576971,-0.40872136
51849,无裂变页面,0,0.12791014,0.38460734,0.0825265,0.40495598,0.16056198
11335,无裂变页面,0,0.07154763,0.48721993,0.061960746,0.3792717,-0.024762332
4932,无裂变页面,0,0.06816205,0.4310816,0.017499687,0.48325667,0.20316821
23755,拼团狂买,0,0.13967362,0.38309175,0.065834306,0.4114003,0.25846532
827,无裂变页面,0,0.021857288,0.5795332,0.01798537,0.38062412,-0.017551541
20744,无裂变页面,0,0.08888628,0.2879068,0.037313767,0.58589315,0.35205668
17624,拼团狂买,0,0.037844084,0.35603607,0.030663226,0.5754566,0.0909816
42870,拼团狂买,1,0.17401256,0.3430932,0.057207074,0.42568722,0.43609086
58570,无裂变页面,0,0.054805987,0.508421,0.013171637,0.42360133,0.13430077
57429,无裂变页面,0,0.07192047,0.40447527,0.060923398,0.46268088,0.06922799
13221,无裂变页面,0,0.118563734,0.3532669,0.039026294,0.48914313,0.3547896
53824,拼团狂买,0,0.04585716,0.7050101,0.009212198,0.23992053,0.048190355
19243,无裂变页面,0,0.080957495,0.38135725,0.040911276,0.496774,0.19805115
25738,无裂变页面,1,0.0399688,0.45887062,0.017194476,0.4839661,0.09162855
41970,拼团狂买,0,0.05425321,0.40027204,0.018539814,0.5269349,0.17074805
56217,无裂变页面,0,0.015691845,0.69708276,0.019613296,0.2676121,-0.0925405
34576,无裂变页面,0,0.11811234,0.4315815,0.05042882,0.39987734,0.20576292
56039,拼团狂买,0,0.012555906,0.41725993,0.016359618,0.55382454,0.0010408759
50287,无裂变页面,0,0.15063946,0.37770885,0.01515406,0.45649758,0.5059683
21369,无裂变页面,0,0.2876983,0.31844825,0.09408562,0.2997679,0.47150016
26941,拼团狂买,0,0.15769131,0.34824264,0.05740329,0.43666276,0.39099628
51193,拼团狂买,0,0.026039843,0.4586238,0.023419308,0.49191704,0.016565919
1425,拼团狂买,1,0.124509014,0.3827206,0.040020518,0.45274985,0.32850677
23413,拼团狂买,0,0.030823147,0.5149712,0.02295732,0.43124837,0.011860073
27250,无裂变页面,0,0.09327058,0.47220358,0.073810615,0.36071527,-0.009844899
56890,无裂变页面,0,0.011129414,0.50480676,0.01423731,0.4698265,-0.015681505
964,无裂变页面,0,0.058713987,0.4457867,0.007164377,0.48833495,0.20384288
