Method,Rank,Item_ID,Score
User-Based CF,1,P019,0.05767542298909329
User-Based CF,2,P006,0.04325656724181997
User-Based CF,3,P058,0.04325656724181997
Item-Based CF,1,P058,1.1391908029819509
Item-Based CF,2,P019,1.1391908029819509
Item-Based CF,3,P006,1.1391908029819509
SVD,1,P044,9.020301754621135e-16
SVD,2,P057,8.724078615256799e-16
SVD,3,P059,7.354774663831836e-16
SVD,4,P021,7.07413684419489e-16
SVD,5,P047,5.061957917936061e-16
Hybrid,1,P019,0.35905986779131327
Hybrid,2,P006,0.35473421106713127
Hybrid,3,P058,0.35473421106713127
Hybrid,4,P044,3.608120701848454e-16
Hybrid,5,P057,3.48963144610272e-16
