用户编号,年龄,性别,状态,下单次数,视力,年收入,年消费,近期购买产品,已注册月,收入消费比,年龄层次,收入等级,消费等级,R_Stage,F_Stage,M_Stage,用户价值,综合分群
U067,36,女,单身,4,3,34343,94,贝尔防蓝光眼镜(高级黑),2,0.0027370934396314505,千禧一代(28-38),中收入,低消费,新用户,中频,低价值,其他,中年视力关爱群体
U147,24,女,单身,4,5,51006,100,9色钻石珠光眼影盘,6,0.0019605536603152464,Z世代(18-27),中收入,低消费,活跃,中频,低价值,其他,其他用户群体
U149,24,男,单身,5,5,62291,200,9色钻石珠光眼影盘,6,0.0032107367034850823,Z世代(18-27),高收入,中消费,活跃,中频,中价值,其他,高收入美妆爱好者
U087,21,女,有朋友,2,2,22973,53,敦乐视疲劳滴眼液(13ML),2,0.002307056109245329,Z世代(18-27),低收入,低消费,新用户,低频,低价值,价格敏感,价格敏感学生党
U005,20,女,有朋友,4,2,25247,47,贝尔防蓝光眼镜(高级黑),3,0.0018616073196078104,Z世代(18-27),低收入,低消费,新用户,中频,低价值,价格敏感,年轻护眼刚需族
U008,21,女,单身,3,3,22973,85,贝尔防蓝光眼镜(高级黑),3,0.003699995646902886,Z世代(18-27),低收入,低消费,新用户,低频,低价值,价格敏感,年轻护眼刚需族
U026,24,女,有朋友,3,2,32069,47,贝尔防蓝光眼镜(高级黑),3,0.001465589821900727,Z世代(18-27),中收入,低消费,新用户,低频,低价值,其他,年轻护眼刚需族
U115,30,男,单身,4,3,56617,106,敦乐视疲劳滴眼液(13ML),3,0.0018722291890797423,千禧一代(28-38),中收入,中消费,新用户,中频,中价值,价值用户,中年视力关爱群体
U121,33,女,有朋友,4,4,43439,170,敦乐视疲劳滴眼液(13ML),3,0.0039135339210406885,千禧一代(28-38),中收入,中消费,新用户,中频,中价值,价值用户,中年视力关爱群体
U001,18,女,单身,3,4,19562,112,贝尔防蓝光眼镜(高级黑),4,0.005725385952063931,Z世代(18-27),低收入,中消费,活跃,低频,中价值,价格敏感,年轻护眼刚需族
U003,19,男,有朋友,4,3,40699,66,贝尔防蓝光眼镜(高级黑),4,0.0016216614658438374,Z世代(18-27),中收入,低消费,活跃,中频,低价值,其他,年轻护眼刚需族
U006,20,男,有朋友,3,3,42973,66,贝尔防蓝光眼镜(高级黑),4,0.0015358480906258382,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U007,21,男,有朋友,3,3,45247,75,贝尔防蓝光眼镜(高级黑),4,0.001657568457540664,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U011,22,女,单身,3,3,26384,85,贝尔防蓝光眼镜(高级黑),4,0.0032216494844139764,Z世代(18-27),低收入,低消费,活跃,低频,低价值,价格敏感,年轻护眼刚需族
U012,22,男,有朋友,3,2,45247,66,贝尔防蓝光眼镜(高级黑),4,0.0014586602426357844,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U014,22,男,单身,3,3,45247,75,贝尔防蓝光眼镜(高级黑),4,0.001657568457540664,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U017,23,男,单身,2,3,44110,103,贝尔防蓝光眼镜(高级黑),4,0.002335071412325208,Z世代(18-27),中收入,中消费,活跃,低频,中价值,价值用户,年轻护眼刚需族
U021,23,女,单身,4,3,28658,113,贝尔防蓝光眼镜(高级黑),4,0.003943052550633573,Z世代(18-27),低收入,中消费,活跃,中频,中价值,价格敏感,年轻护眼刚需族
U025,24,女,单身,2,3,35480,113,贝尔防蓝光眼镜(高级黑),4,0.003184892897317224,Z世代(18-27),中收入,中消费,活跃,低频,中价值,价值用户,年轻护眼刚需族
U028,25,男,有朋友,3,3,58891,75,贝尔防蓝光眼镜(高级黑),4,0.0012735392504580744,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U029,25,女,有朋友,2,3,35480,56,贝尔防蓝光眼镜(高级黑),4,0.0015783540022103056,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U030,25,男,有朋友,2,2,83450,47,贝尔防蓝光眼镜(高级黑),4,0.0005632115038877986,Z世代(18-27),高收入,低消费,活跃,低频,低价值,潜力用户,年轻护眼刚需族
U031,25,男,有朋友,3,3,99795,85,贝尔防蓝光眼镜(高级黑),4,0.000851746079454364,Z世代(18-27),高收入,低消费,活跃,低频,低价值,潜力用户,年轻护眼刚需族
U035,26,男,有朋友,3,4,54343,113,贝尔防蓝光眼镜(高级黑),4,0.002079384649318599,Z世代(18-27),中收入,中消费,活跃,低频,中价值,价值用户,年轻护眼刚需族
U042,27,男,有朋友,3,2,55480,66,贝尔防蓝光眼镜(高级黑),4,0.0011896178802957892,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
U044,27,男,有朋友,2,3,55480,56,贝尔防蓝光眼镜(高级黑),4,0.0010093727469176392,Z世代(18-27),中收入,低消费,活跃,低频,低价值,其他,年轻护眼刚需族
