用户编号,年龄,性别,年收入,年消费,下单次数,已注册月,近期购买产品,视力,状态
U001,25,女,45000,280,4,6,9色钻石珠光眼影盘,3,单身
U002,32,男,68000,450,7,12,贝尔防蓝光眼镜(高级黑),4,有朋友
U003,28,女,52000,180,3,4,敦乐视疲劳滴眼液(13ML),2,单身
U004,35,男,85000,680,9,8,贝尔防蓝光眼镜(高级黑),5,有朋友
U005,23,女,28000,95,2,3,9色钻石珠光眼影盘,2,单身
U006,41,男,92000,520,6,15,贝尔防蓝光眼镜(高级黑),4,有朋友
U007,29,女,58000,320,5,7,9色钻石珠光眼影盘,3,单身
U008,36,女,76000,420,6,11,敦乐视疲劳滴眼液(13ML),4,有朋友
U009,24,男,32000,120,3,5,贝尔防蓝光眼镜(高级黑),2,单身
U010,33,女,65000,380,5,9,9色钻石珠光眼影盘,3,有朋友
U011,27,男,48000,260,4,6,敦乐视疲劳滴眼液(13ML),3,单身
U012,39,男,88000,580,8,13,贝尔防蓝光眼镜(高级黑),4,有朋友
U013,22,女,26000,85,2,2,9色钻石珠光眼影盘,2,单身
U014,31,女,55000,310,4,8,9色钻石珠光眼影盘,3,有朋友
U015,26,男,42000,220,3,5,贝尔防蓝光眼镜(高级黑),3,单身
U016,38,女,72000,460,6,12,9色钻石珠光眼影盘,4,有朋友
U017,25,女,38000,160,3,4,敦乐视疲劳滴眼液(13ML),2,单身
U018,34,男,68000,490,7,10,贝尔防蓝光眼镜(高级黑),4,有朋友
U019,29,女,51000,290,4,7,9色钻石珠光眼影盘,3,单身
U020,43,男,98000,620,9,16,贝尔防蓝光眼镜(高级黑),5,有朋友
