用户编号,年龄,性别,状态,下单次数,视力,月收入,月消费,近期购买产品,已注册月,收入消费比,年龄层次,收入等级,消费等级,R_Stage,F_Stage,M_Stage,用户价值,综合分群
U067,36,女,单身,4,3,34343,94,贝尔防黑色假发(高级黑),2,0.0027370934397111493,千禧一代(28-38),高收入,低消费,新用户,中频,低价值,潜力用户,高端假发追求者
U147,24,女,单身,4,5,51006,100,9色钻石珠光眼影盘,6,0.001960553660353684,Z世代(18-27),高收入,低消费,活跃用户,中频,低价值,潜力用户,年轻时尚达人
U149,24,男,单身,5,5,62291,200,9色钻石珠光眼影盘,6,0.0032107367035366266,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,年轻时尚达人
U087,21,女,有朋友,2,2,22973,53,敦乐视疲劳滴眼液(13ML),2,0.002307056109345754,Z世代(18-27),高收入,低消费,新用户,低频,低价值,潜力用户,新兴潜力用户
U005,20,女,有朋友,4,2,25247,47,贝尔防黑色假发(高级黑),3,0.0018616073196815464,Z世代(18-27),高收入,低消费,新用户,中频,低价值,潜力用户,高端假发追求者
U008,21,女,单身,3,3,22973,85,贝尔防黑色假发(高级黑),3,0.0036999956470639447,Z世代(18-27),高收入,低消费,新用户,低频,低价值,潜力用户,高端假发追求者
U026,24,女,有朋友,3,2,32069,47,贝尔防黑色假发(高级黑),3,0.001465589821946428,Z世代(18-27),高收入,低消费,新用户,低频,低价值,潜力用户,高端假发追求者
U115,30,男,单身,4,3,56617,106,敦乐视疲劳滴眼液(13ML),3,0.0018722291891128107,千禧一代(28-38),高收入,中消费,新用户,中频,中价值,其他,品质生活追求者
U121,33,女,有朋友,4,4,43439,170,敦乐视疲劳滴眼液(13ML),3,0.003913533921130781,千禧一代(28-38),高收入,中消费,新用户,中频,中价值,其他,品质生活追求者
U001,18,女,单身,3,4,19562,112,贝尔防黑色假发(高级黑),4,0.00572538595235661,Z世代(18-27),高收入,中消费,活跃用户,低频,中价值,其他,高端假发追求者
U003,19,男,有朋友,4,3,40699,66,贝尔防黑色假发(高级黑),4,0.0016216614658836827,Z世代(18-27),高收入,低消费,活跃用户,中频,低价值,潜力用户,高端假发追求者
U006,20,男,有朋友,3,3,42973,66,贝尔防黑色假发(高级黑),4,0.001535848090661578,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U007,21,男,有朋友,3,3,45247,75,贝尔防黑色假发(高级黑),4,0.001657568457577298,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U011,22,女,单身,3,3,26384,85,贝尔防黑色假发(高级黑),4,0.0032216494845360823,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U012,22,男,有朋友,3,2,45247,66,贝尔防黑色假发(高级黑),4,0.0014586602426680223,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U014,22,男,单身,3,3,45247,75,贝尔防黑色假发(高级黑),4,0.001657568457577298,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U017,23,男,单身,2,3,44110,103,贝尔防黑色假发(高级黑),4,0.0023350714123781457,Z世代(18-27),高收入,中消费,活跃用户,低频,中价值,其他,高端假发追求者
U021,23,女,单身,4,3,28658,113,贝尔防黑色假发(高级黑),4,0.003943052550771164,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,高端假发追求者
U025,24,女,单身,2,3,35480,113,贝尔防黑色假发(高级黑),4,0.00318489289740699,Z世代(18-27),高收入,中消费,活跃用户,低频,中价值,其他,高端假发追求者
U028,25,男,有朋友,3,3,58891,75,贝尔防黑色假发(高级黑),4,0.0012735392504796999,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U029,25,女,有朋友,2,3,35480,56,贝尔防黑色假发(高级黑),4,0.0015783540022547915,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U030,25,男,有朋友,2,2,83450,47,贝尔防黑色假发(高级黑),4,0.0005632115038945476,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U031,25,男,有朋友,3,3,99795,85,贝尔防黑色假发(高级黑),4,0.000851746079462899,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U035,26,男,有朋友,3,4,54343,113,贝尔防黑色假发(高级黑),4,0.002079384649356863,Z世代(18-27),高收入,中消费,活跃用户,低频,中价值,其他,高端假发追求者
U042,27,男,有朋友,3,2,55480,66,贝尔防黑色假发(高级黑),4,0.0011896178803172315,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U044,27,男,有朋友,2,3,55480,56,贝尔防黑色假发(高级黑),4,0.0010093727469358328,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U045,28,男,有朋友,2,3,81290,56,贝尔防黑色假发(高级黑),4,0.0006888916225858039,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U047,28,女,单身,3,3,42302,103,贝尔防黑色假发(高级黑),4,0.002434873055647487,千禧一代(28-38),高收入,中消费,活跃用户,低频,中价值,其他,高端假发追求者
U048,28,男,有朋友,3,3,64576,94,贝尔防黑色假发(高级黑),4,0.001455649157581764,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U049,28,女,单身,4,3,44576,113,贝尔防黑色假发(高级黑),4,0.002534996410624551,千禧一代(28-38),高收入,中消费,活跃用户,中频,中价值,其他,高端假发追求者
U052,29,男,有朋友,2,2,56617,38,贝尔防黑色假发(高级黑),4,0.0006711765017574227,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U054,30,女,有朋友,4,4,36617,141,贝尔防黑色假发(高级黑),4,0.003850670453614441,千禧一代(28-38),高收入,中消费,活跃用户,中频,中价值,其他,高端假发追求者
U055,30,女,单身,3,3,44576,85,贝尔防黑色假发(高级黑),4,0.0019068557071069633,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U056,31,女,有朋友,2,2,44576,47,贝尔防黑色假发(高级黑),4,0.0010543790380473797,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U057,31,男,单身,2,2,55480,47,贝尔防黑色假发(高级黑),4,0.0008471521268925739,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U058,32,男,单身,3,4,56617,113,贝尔防黑色假发(高级黑),4,0.001995866965752336,千禧一代(28-38),高收入,中消费,活跃用户,低频,中价值,其他,高端假发追求者
U059,32,女,有朋友,4,3,42302,85,贝尔防黑色假发(高级黑),4,0.0020093612595149164,千禧一代(28-38),高收入,低消费,活跃用户,中频,低价值,潜力用户,高端假发追求者
U070,38,男,有朋友,2,3,64576,56,贝尔防黑色假发(高级黑),4,0.000867195242814668,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U071,38,女,单身,2,3,42302,56,贝尔防黑色假发(高级黑),4,0.0013238144768568862,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U081,19,女,单身,3,3,21836,64,敦乐视疲劳滴眼液(13ML),4,0.0029309397325517493,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U082,20,女,单身,2,3,22973,53,敦乐视疲劳滴眼液(13ML),4,0.002307056109345754,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U083,20,男,有朋友,3,3,74110,106,敦乐视疲劳滴眼液(13ML),4,0.0014303063014437997,Z世代(18-27),高收入,中消费,活跃用户,低频,中价值,其他,其他用户群体
U084,20,女,单身,3,3,28658,95,敦乐视疲劳滴眼液(13ML),4,0.003314955684276642,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U085,21,男,有朋友,5,4,44110,212,敦乐视疲劳滴眼液(13ML),4,0.004806166402176377,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,其他用户群体
U088,23,女,有朋友,3,3,26384,95,敦乐视疲劳滴眼液(13ML),4,0.003600667070952092,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U089,23,女,有朋友,3,3,28658,85,敦乐视疲劳滴眼液(13ML),4,0.002966012980668574,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U093,23,男,单身,3,2,50932,53,敦乐视疲劳滴眼液(13ML),4,0.0010406031571507108,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U095,24,男,单身,3,2,50932,85,敦乐视疲劳滴眼液(13ML),4,0.0016688918558077437,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U096,24,女,单身,3,4,38891,106,敦乐视疲劳滴眼液(13ML),4,0.002725566326399424,Z世代(18-27),高收入,中消费,活跃用户,低频,中价值,其他,其他用户群体
U098,25,男,有朋友,2,3,55480,85,敦乐视疲劳滴眼液(13ML),4,0.0015320836337418889,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U099,25,男,单身,3,4,53206,127,敦乐视疲劳滴眼液(13ML),4,0.0023869488403563508,Z世代(18-27),高收入,中消费,活跃用户,低频,中价值,其他,其他用户群体
U101,25,男,有朋友,5,3,87754,106,敦乐视疲劳滴眼液(13ML),4,0.0012079221459990429,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,其他用户群体
U102,25,女,单身,3,3,35480,95,敦乐视疲劳滴眼液(13ML),4,0.002677564825253664,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U103,25,男,单身,2,3,53206,64,敦乐视疲劳滴眼液(13ML),4,0.0012028718565575312,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U104,25,女,有朋友,4,3,35480,170,敦乐视疲劳滴眼液(13ML),4,0.004791431792559188,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,其他用户群体
U105,25,女,有朋友,3,4,33206,106,敦乐视疲劳滴眼液(13ML),4,0.0031921941817743783,Z世代(18-27),高收入,中消费,活跃用户,低频,中价值,其他,其他用户群体
U107,25,男,单身,2,2,55480,42,敦乐视疲劳滴眼液(13ML),4,0.0007570295602018746,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,其他用户群体
U108,25,女,单身,4,3,38891,127,敦乐视疲劳滴眼液(13ML),4,0.00326553701370497,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,其他用户群体
U112,27,女,单身,4,2,35480,53,敦乐视疲劳滴眼液(13ML),4,0.0014937993235625705,Z世代(18-27),高收入,低消费,活跃用户,中频,低价值,潜力用户,其他用户群体
U113,29,男,有朋友,3,3,61165,95,敦乐视疲劳滴眼液(13ML),4,0.001553175835853838,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U114,30,男,单身,3,3,67987,74,敦乐视疲劳滴眼液(13ML),4,0.0010884433788812568,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U129,35,男,有朋友,3,2,62302,53,敦乐视疲劳滴眼液(13ML),4,0.0008506950017655934,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U141,22,女,单身,4,3,38658,106,9色钻石珠光眼影盘,4,0.002741993895183403,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,年轻时尚达人
U167,29,女,有朋友,7,5,75906,300,9色钻石珠光眼影盘,4,0.00395225673859774,千禧一代(28-38),高收入,中消费,活跃用户,高频,中价值,其他,其他用户群体
U002,19,女,单身,2,3,21836,75,贝尔防黑色假发(高级黑),5,0.0034346949990840814,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U009,21,女,单身,5,4,25247,141,贝尔防黑色假发(高级黑),5,0.005584821959044639,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,高端假发追求者
U010,21,男,有朋友,2,3,47521,85,贝尔防黑色假发(高级黑),5,0.0017886828980871615,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U020,23,男,有朋友,2,2,44110,38,贝尔防黑色假发(高级黑),5,0.0008614826569938789,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U128,34,女,单身,3,3,57083,85,敦乐视疲劳滴眼液(13ML),5,0.0014890597901301614,千禧一代(28-38),高收入,低消费,活跃用户,低频,低价值,潜力用户,品质生活追求者
U013,22,男,单身,4,3,106384,75,贝尔防黑色假发(高级黑),6,0.0007049932320649722,Z世代(18-27),高收入,低消费,活跃用户,中频,低价值,潜力用户,高端假发追求者
U015,23,女,有朋友,3,1,28658,47,贝尔防黑色假发(高级黑),6,0.0016400307069579176,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U016,23,女,有朋友,3,3,30932,75,贝尔防黑色假发(高级黑),6,0.002424673477305056,Z世代(18-27),高收入,低消费,活跃用户,低频,低价值,潜力用户,高端假发追求者
U018,23,女,有朋友,4,3,29795,94,贝尔防黑色假发(高级黑),6,0.003154891760362477,Z世代(18-27),高收入,低消费,活跃用户,中频,低价值,潜力用户,高端假发追求者
U019,23,男,单身,4,3,48658,113,贝尔防黑色假发(高级黑),6,0.0023223313740803157,Z世代(18-27),高收入,中消费,活跃用户,中频,中价值,其他,高端假发追求者
U022,23,女,单身,4,3,30932,94,贝尔防黑色假发(高级黑),6,0.0030389240915556703,Z世代(18-27),高收入,低消费,活跃用户,中频,低价值,潜力用户,高端假发追求者
